No,x,y,z,avg_M_x,avg_M_y,avg_M_z,avg_M_tot
117,1,0,0,-8.818,-18.221,-36.949,42.131
118,1,0,0,-9.949,-19.23,-38.61,44.266
119,1,0,0,-8.069,-20.821,-38.128,44.186
120,1,0,0,-8.107,-20.08,-39.278,44.852
121,1,0,0,-8.251,-19.507,-38.613,44.04
122,1,0,0,-8.372,-19.378,-37.29,42.85
123,1,0,0,-8.797,-20.096,-38.453,44.27
124,1,0,0,-8.943,-19.808,-38.285,44.023
125,1,0,0,-8.773,-19.682,-36.466,42.358
126,1,0,0,-8.503,-20.245,-37.958,43.852
127,1,0,0,-7.679,-20.08,-38.948,44.487
128,1,0,0,-8.148,-18.192,-38.932,43.738
129,1,0,0,-8.926,-20.248,-37.958,43.937
130,1,0,0,-7.411,-18.923,-38.112,43.192
131,1,0,0,-9.199,-20.256,-37.463,43.571
132,1,0,0,-9.778,-18.963,-36.46,42.244
133,1,0,0,-7.967,-20.508,-39.943,45.601
134,1,0,0,-7.686,-18.644,-37.283,42.388
135,1,0,0,-8.385,-19.655,-38.449,43.988
136,1,0,0,-9.943,-19.234,-38.28,43.979
137,1,0,0,-9.073,-20.102,-38.122,44.042
138,1,0,0,-7.962,-19.795,-38.615,44.118
139,1,0,0,-8.953,-18.798,-37.45,42.849
140,1,0,0,-9.52,-19.374,-38.446,44.092
141,1,0,0,-8.807,-18.658,-36.953,42.323
142,1,0,0,-9.669,-19.512,-39.108,44.763
143,1,0,0,-7.553,-18.781,-37.945,43.007
144,1,0,0,-8.777,-20.109,-37.296,43.272
145,1,0,0,-8.797,-20.096,-38.453,44.27
146,1,0,0,-8.333,-20.407,-36.473,42.616
147,1,0,0,-9.079,-20.098,-38.453,44.328
148,1,0,0,-8.23,-18.519,-35.961,41.278
149,1,0,0,-9.219,-20.243,-38.619,44.567
150,1,0,0,-8.565,-18.771,-39.432,44.504
151,1,0,0,-8.52,-19.232,-37.454,42.956
152,1,0,0,-10.089,-18.946,-38.112,43.741
153,1,0,0,-8.563,-18.057,-38.27,43.174
154,1,0,0,-8.183,-17.596,-40.083,44.533
155,1,0,0,-9.701,-17.058,-37.435,42.266
156,1,0,0,-9.714,-18.48,-40.256,45.348
157,1,0,0,-8.337,-16.586,-39.413,43.566
158,1,0,0,-8.628,-16.582,-39.909,44.07
159,1,0,0,-7.507,-16.425,-40.073,43.954
160,1,0,0,-7.796,-16.136,-40.07,43.895
161,1,0,0,-8.066,-15.574,-38.579,42.378
