PC1,PC2,PC3,x,y,Selected
-0.7925740602897792,0.3916457694845843,-0.4152042018225345,0.0,0.0,No
-0.6831147730046669,0.705827297748701,-0.17602614125947824,1.0,0.0,No
-0.5336783300675174,1.0710061856857844,-0.03132473941435954,2.0,0.0,No
-0.26068406020794993,1.097839184123149,0.0707307790297016,3.0,0.0,No
-0.38666957890234405,1.0313728594266498,0.348833905187985,4.0,0.0,No
-0.9509749641999572,0.7263666339347387,0.2728035205008312,5.0,0.0,No
-1.4477443642477392,0.5581429514427749,0.4352124721031374,6.0,0.0,No
-0.9666634515282027,0.29736317953623714,0.054281007071951326,7.0,0.0,No
-0.6550151591770939,0.32067900559828066,0.07060797844854388,8.0,0.0,No
-1.0622604263599367,0.05831168267075723,0.413713317562519,10.0,0.0,No
-0.5750445011002544,0.021910269015296135,0.5173280832852964,11.0,0.0,No
-0.6984165756975971,0.8786987967752076,0.5793770993332212,12.0,0.0,No
-0.7602327131241176,1.427923444703769,0.4456019951061485,13.0,0.0,No
-0.9336683260569976,1.4128444461750753,-0.19140333218945726,14.0,0.0,No
-1.0796170856155176,1.122205617699162,0.027568911018578612,15.0,0.0,No
-1.4877419313977183,0.59507453531736,0.19425191430225847,16.0,0.0,No
-1.3302148551392978,0.3915138061706925,0.2371999488644182,17.0,0.0,No
-1.181046207004406,0.6719393667930039,0.13456395961930462,18.0,0.0,No
-0.9156336453292324,0.9075835628821226,0.12299574408760172,19.0,0.0,No
-1.0463481925101563,0.7156169100047166,-0.06087781642154122,20.0,0.0,No
-0.9444741100701024,0.37704567697783914,-0.40707744445127647,21.0,0.0,No
-1.0605806900921706,0.08546928006048166,-0.14286100043723482,22.0,0.0,No
-1.0353101788796897,0.3341312184440015,-0.12385454628151105,23.0,0.0,No
-0.8473695044953153,0.49132205321715716,-0.1829563494539153,24.0,0.0,No
-1.0665867389829744,0.41685775767470834,-0.3306986635640281,25.0,0.0,No
-1.069535938756148,0.46788558012138387,-0.37739584987574004,26.0,0.0,No
-0.9592848477869426,0.38746533694231444,-0.4186593131325129,27.0,0.0,No
2.1130375909592827,-1.3913194824498314,-0.30013065793739124,27.0,1.0,No
2.198343723301812,-1.554510258999508,-0.08702843790517423,27.0,2.0,No
2.074474298826293,-1.5476717003168527,-0.13838826986979158,27.0,3.0,No
2.0018021389324523,-1.1476980541499144,0.18279406716038848,27.0,4.0,No
1.63603127091584,-1.2442295458657595,0.08480073091793672,27.0,5.0,No
1.6422713702247262,-1.278740169979633,0.14118713849326836,27.0,6.0,No
1.7711811609752202,-1.1979888276251063,0.47919033303900904,27.0,7.0,No
1.834726456249752,-0.8983906020038716,0.3033270428431082,27.0,8.0,No
9.283932777445271,5.611469088174504,-0.32431313573100606,27.0,9.0,No
-0.8249624095086727,0.21194750194531067,-0.11922950085156467,28.0,0.0,No
-0.9270216102577364,-0.15435561673436055,-0.3024011871006004,29.0,0.0,No
-1.0110326126965887,-0.15747009593163203,-0.043310925825330554,30.0,0.0,No
-0.9967893537456456,-0.04097023259125607,0.12096191781614496,31.0,0.0,No
-0.7263472754518321,0.13369021110525936,-0.05150703050537159,32.0,0.0,No
-0.6300510312112467,0.07349940563361636,-0.33620897431191576,33.0,0.0,No
-0.6541996357233171,0.16746669502700243,-0.3683202836814259,34.0,0.0,No
-0.5980217135498307,0.09192771763028926,-0.5147722656567518,35.0,0.0,No
-0.5106949711010698,0.4423424249837475,-0.2657027116881765,36.0,0.0,No
-0.28281198042289024,0.31284297788839666,-0.207217056598692,37.0,0.0,No
-0.5419675388739666,0.1502275630155155,-0.12851859049944286,38.0,0.0,No
-0.6029449210888476,-0.036935003880793765,-0.17609359834565624,39.0,0.0,No
-0.9560582756459082,0.1740597391455836,0.20572315239867317,40.0,0.0,No
-1.1208669968841882,-0.044016963742416405,0.1558822192954158,41.0,0.0,No
-1.3168323409467053,-0.1865069661868664,0.0342139245131248,42.0,0.0,No
-1.4458916659212422,-0.29247569546766305,-0.22867192802801833,43.0,0.0,No
-1.606547386605754,-0.5743445740675757,-0.4026911853500815,44.0,0.0,No
-1.4468728186269102,-0.5268850329694561,-0.10765021774915888,45.0,0.0,No
-1.4586484767229173,-0.4104167946096137,0.10832911108965797,46.0,0.0,No
-1.775392658844603,-0.28823286663232794,0.30572345309199517,47.0,0.0,No
-1.6887337238960936,-0.27304316001232454,0.16068518103922358,48.0,0.0,No
-1.1127583174839681,-0.029687631977065226,-0.27764927517515947,49.0,0.0,No
-0.8813427169108996,0.49770292445095554,-0.5852978290756894,50.0,0.0,No
-0.7987770174804523,0.40165616022483774,-0.8876139242748068,51.0,0.0,No
1.7506126119633532,-1.261514404787327,-0.3183323936440916,51.0,1.0,No
1.6176822909965105,-1.01277641962538,-0.2085431647673841,51.0,2.0,No
1.4279157716107251,-1.1074679569531583,-0.007314095985969438,51.0,3.0,No
1.2577188117073221,-0.9293390422320267,-0.08310118823548884,51.0,4.0,No
1.8229164256801393,-1.196474607374726,-0.3832406937120516,51.0,5.0,No
2.0858102420920206,-1.3787295664229071,-0.9897278983720421,51.0,6.0,No
2.2752351990265263,-1.453527056204083,-0.7357098729057682,51.0,7.0,No
1.889633260064865,-1.1632181145305613,-0.2717706860539225,51.0,8.0,No
2.560061473699947,-0.5594031894792275,-0.0330006156453333,51.0,9.0,No
2.3931687811875477,-0.25497351095324355,0.6398977573739772,51.0,10.0,No
1.683864594273821,-0.07426502524049383,0.6748824591364792,51.0,11.0,No
1.2578366350965513,-0.06684365689199628,0.9853760975373336,51.0,12.0,No
0.959445730518739,-0.0973648255543968,1.0055534021656023,51.0,13.0,No
0.6530128651078396,-0.48924256747268946,1.179353849591267,51.0,14.0,No
0.4553371787685444,-0.9118455979349485,1.048844520762726,51.0,15.0,No
