No,PC1,PC2,PC3,x,y
0,-1.2165415975097056,0.4671443539717759,-0.2210424639472257,0.0,0.0
1,-1.2165415975097056,0.4671443539717759,-0.2210424639472257,0.0,0.0
2,-1.2629199780906533,0.41965879009039475,-0.3178459476373674,0.0,0.0
3,-1.2629199780906533,0.41965879009039475,-0.3178459476373674,0.0,0.0
4,-0.7860781407531827,0.46795570112507395,-0.5371030268263738,0.0,0.0
5,-0.7860781407531827,0.46795570112507395,-0.5371030268263738,0.0,0.0
6,-1.0717194866609592,0.5814846217148596,-0.3547100757122335,0.0,0.0
7,-1.0717194866609592,0.5814846217148596,-0.3547100757122335,0.0,0.0
8,-1.0456432837024479,0.5781843579448855,-0.47068703846596593,0.0,0.0
9,-1.0456432837024479,0.5781843579448855,-0.47068703846596593,0.0,0.0
10,-1.0673258902848743,0.44458061019510203,-0.4626785543352566,0.0,0.0
11,-1.0673258902848743,0.44458061019510203,-0.4626785543352566,0.0,0.0
12,-0.9855717792869092,0.577021855452136,-0.3501107622079648,0.0,0.0
13,-0.8023569531181391,0.7296665013733077,-0.42005878004487446,0.0,0.0
14,-0.9407660402978647,0.4668234133681781,-0.45135490847227744,0.0,0.0
15,-0.9407660402978647,0.4668234133681781,-0.45135490847227744,0.0,0.0
16,-1.0407243393671561,0.4642749116152432,-0.35482687617054987,0.0,0.0
17,-1.020476888420701,0.4596989869313497,-0.19526056613290604,0.0,0.0
18,-0.9395837559308299,0.448167354495942,-0.4321814097065199,0.0,0.0
19,-0.7375168867099112,0.4127525536827185,-0.4453094642129952,0.0,0.0
20,-0.9508903229456375,0.6647514764898714,-0.2682436156987173,0.0,0.0
21,-0.5377591794877197,0.43450547670383427,-0.516456940790027,0.0,0.0
22,-0.7202048822706342,0.5593621302872731,-0.3295870584161749,0.0,0.0
23,-0.8670155394756602,0.4761139244179698,-0.3660067884541326,0.0,0.0
24,-0.9038576036509983,0.3052460169005366,-0.40494497775521265,0.0,0.0
25,-0.9038576036509983,0.3052460169005366,-0.40494497775521265,0.0,0.0
26,-0.5843363414479648,0.36731501712526693,-0.3862412129332269,0.0,0.0
27,-0.6530111351363915,0.462683663480641,-0.35762382472818555,0.0,0.0
28,-0.7081655708253521,0.470649161469662,-0.23653230527464014,0.0,0.0
29,-0.6893994641158504,0.38668431958184435,-0.38285893982725616,0.0,0.0
30,-0.6282734283760179,0.44208013284019443,-0.3874806298989445,0.0,0.0
31,-0.728540271588039,0.07757228604888605,-0.43182166016281825,0.0,0.0
32,-0.6390824353620745,0.38877616774681806,-0.20942286426206783,0.0,0.0
